рептилия,птероящер,карнозавр,драконозавр,горгозавр,ящер
кредитбанк,банки,нацбанк,кредит,кредитна,банк
препочтенный,полупочтенный,наипочтенный,почтеный,чтенный,почтенный
реэкспорт,импорт,экспортлес,экспортер,лжеэкспорт,экспорт
бандп,бандок,бандью,бандо,бандля,банд
твердыня,цитадель,бастион,несокрушимый,защитница,оплот
спуста,пуст,запуста,пустощий,пустка,пуста
доцентка,аспирантка,преподавательница,первокурсница,практикантка,студентка
должный,равный,хотеть,уверенный,пожелать,пусть
строка,полстрочка,прострочка,отстрочка,страница,строчка
неподготовленность,малоподготовленный,подготовленный,неподготавливать,подготовленность,неподготовленный
наимилостивый,премилостивый,высокомилостивый,всемилостивый,наймилостивый,милостивый
балад,балада,балачок,балай,балаг,бала
индокитаец,японец,полукитаец,некитаец,кореец,китаец
честнок,честно,почестно,непременно,свой,честной
книжечка,записной,записнушка,трудкнижка,книжулька,книжка
быстробыстро,сразу,торопливо,вскоре,незаметно,быстро
именат,имень,именет,имен,лиимена,имена
тудак,куда,сюд,тудась,тудысь,туда
гробница,могила,усыпальница,могильн,могильна,склеп
тоскливый,печаль,одиночество,скука,отчаяние,тоска
заклятие,чарод,заклят,заклятих,триклятие,чары
решаться,опасаться,соваться,решать,желать,рисковать
обвинитель,истец,нарсудья,ответчик,адвокат,судья
хронометр,полухронометр,циферблат,часики,циферблатик,часы
неуверенно,выверенно,точно,странно,самоуверенно,уверенно
строч,строчка,строчок,строчник,строчной,строчки
сектор,разведракета,разведкоманда,мегатранспорт,космотранспорт,база
адеяться,надеять,уверенный,вознадеяться,уверять,надеяться
существовать,иметься,являться,предполагать,преимуществовать,иметь
председательство,зицпредседатель,зампредседатель,зам.председатель,председательский,председатель
толпотворение,столповский,столпление,столпообразный,толпление,столпотворение
порядочность,почестность,нечестность,бесчестность,добродетельность,честность
нилось,снилось,клонилось,наснилось,йснилось,изменилось
клитом,влагалище,анус,ягодица,вагина,клитор
складской,вещсклад,складовая,начсклад,складик,склад
сверхусилие,труд,попытка,титанически,силие,усилие
кубок,кувшин,чашат,виночерп,бурдюк,чаша
мужик,молодуха,бабя,настюха,мамонька,баба
получувство,чувствование,чувствие,неосознание,сознание,чувство
неромантический,преромантический,ложноромантический,постромантический,предромантический,романтический
данство,подданство,гражданс,граждана,гражданин,гражданство
феминист,феминистский,онанистка,шовинистка,нистка,феминистка
незавершенность,свершенность,несвершенность,законченность,совершенность,завершенность
слабенький,ослабый,неуверенный,немощный,помощный,слабый
темко,немко,ремко,кратко,лапидарно,емко
уставясь,хмуро,невидящий,ошарашенно,ошалело,тупо
оттрещать,потрещать,растрещаться,затрещать,потрескивать,трещать
кредор,принцип,доктрина,доктринерство,доктри,кредо
несчастный,жить,простовать,радельный,пребедный,бедный
служить,являться,приводить,находить,лужить,послужить
сутолок,суетня,сутолока,суетон,суетствие,суета
понемецкий,пронемецкий,мецкий,полунемецкий,германский,немецкий
неотдаленный,п.отдаленный,неудаленный,даленный,доносительный,отдаленный
зволить,позволительный,дозволительный,дозволить,произволить,позволить
непроглядный,кромешность,непроглядность,беспроглядный,светный,кромешный
неважно,верно,точно,интересно,возможно,важно
почувствовать,учувствовать,почувствоваться,очувствовать,ощущать,чувствовать
богач,бедняков,неимущий,беднота,нищета,бедняк
непоэтический,ноэтический,антипоэтический,общепоэтический,внепоэтический,поэтический
диптих,полиптих,фреска,автопортрет,мадонна,триптих
новелли,новелло,новеллка,новеллин,новеллист,новелла
армия,войска,отряд,пехота,конница,войско
викенд,уикэнд,уикер,кэмпграунд,аллентаун,уикенд
